recordNo,Order ID,uniqueID,accountType,lastName,billingSelection,agencyType,bookingAgency,billingAgency,customerContact,package,orderStatus,PONumber,orderNote,urgentNote,title,publication,section,subsection,zones,regionalCopySplit,copySplit,addDate,module,Colour,productionNote,positionrequests,pagerequests,freereasons,yield,revenue,contractTotalValue,authCode,salesPerson
200,,001D000000j2n8z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,001D000000j2n90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,001D000000j2n91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,001D000000j2n92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,001D000000j2n94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,001D000000j2n95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,001D000000j2n96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,001D000000j2n97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,001D000000j2n99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,001D000000j2n9A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,001D000000j2n9B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,001D000000j2n9C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,001D000000j2n9D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,001D000000j2n9F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,001D000000j2n9G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,001D000000j2n9I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,001D000000j2n9J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,001D000000j2n9K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,001D000000j2n9L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,001D000000j2n9M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,001D000000j2n9N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,001D000000j2n9O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,001D000000j2n9P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,001D000000j2n9R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,001D000000j2n9S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,001D000000j2n9T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,001D000000j2mrZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,001D000000j2mrc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,001D000000j2mre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,001D000000j2mrf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,001D000000j2mrg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,001D000000j2mrh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,001D000000j2mri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,001D000000j2mrj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,001D000000j2mrk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,001D000000j2mrl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,001D000000j2mrm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,001D000000j2mrq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,001D000000j2mrr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,001D000000j2mrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,001D000000j2mrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,001D000000j2mru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,001D000000j2mrv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,001D000000j2mrw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,001D000000j2mrx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,001D000000j2mry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,001D000000j2mrz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,001D000000j2ms0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,001D000000j2ms1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,001D000000j2ms2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,001D000000j2ms3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,001D000000j2ms4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,001D000000j2ms5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,001D000000j2ms6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,001D000000j2ms7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,001D000000j2ms8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,001D000000j2ms9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,001D000000j2msA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,001D000000j2msB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,001D000000j2msC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,001D000000j2msD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,001D000000j2msE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,001D000000j2msF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,001D000000j2msG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,001D000000j2msH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,001D000000j2msI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,001D000000j2msJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,001D000000j2msK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,001D000000j2msL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,001D000000j2msM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,001D000000j2msN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,001D000000j2msO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,001D000000j2msQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,001D000000j2msR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,001D000000j2msS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,001D000000j2msT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,001D000000j2msU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,001D000000j2msV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,001D000000j2msW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,001D000000j2msX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,001D000000j2msZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,001D000000j2msa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,001D000000j2msb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,001D000000j2msc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,001D000000j2msd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,001D000000j2mse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,001D000000j2msf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,001D000000j2msi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,001D000000j2msj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,001D000000j2msk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,001D000000j2msl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,001D000000j2msm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,001D000000j2mso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,001D000000j2msp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,001D000000j2msq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,001D000000j2mss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,001D000000j2mst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,001D000000j2msu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,001D000000j2msv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,001D000000j2msw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,001D000000j2msx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,001D000000j2msy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,001D000000j2msz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,001D000000j2mt0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,001D000000j2mt1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,001D000000j2mt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,001D000000j2mt3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,001D000000j2mt4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,001D000000j2mt7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,001D000000j2mt8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,001D000000j2mt9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,001D000000j2mtA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,001D000000j2mtB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,001D000000j2mtC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,001D000000j2mtD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,001D000000j2mtE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,001D000000j2mtF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,001D000000j2mtH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,001D000000j2mtI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,001D000000j2mtK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,001D000000j2mtL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,001D000000j2mtM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,001D000000j2mtN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,001D000000j2mtO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,001D000000j2mtP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,001D000000j2mtQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,001D000000j2mtR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,001D000000j2mtS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,001D000000j2mtT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,001D000000j2mtV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,001D000000j2mtW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,001D000000j2mtX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,001D000000j2mtY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,001D000000j2mtZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,001D000000j2mta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,001D000000j2mtb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,001D000000j2mtd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,001D000000j2mte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,001D000000j2mtg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,001D000000j2mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,001D000000j2mti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,001D000000j2mtj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,001D000000j2mtk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,001D000000j2mtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,001D000000j2mtm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,001D000000j2mtn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,,001D000000j2mto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,001D000000j2mtp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,,001D000000j2mtr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,001D000000j2mts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,001D000000j2mtt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,001D000000j2mtu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,001D000000j2mtv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,001D000000j2mtw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,001D000000j2mtx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,001D000000j2mty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,001D000000j2mtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,001D000000j2mu0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,001D000000j2mu1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,001D000000j2mu2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,001D000000j2mu3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,001D000000j2mu4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,001D000000j2mu6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,001D000000j2mu7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,001D000000j2mu8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,001D000000j2mu9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,001D000000j2muA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,001D000000j2muC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,001D000000j2muD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,001D000000j2muF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,001D000000j2muG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,001D000000j2muH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,001D000000j2muI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,001D000000j2muJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,001D000000j2muK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,001D000000j2muL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,001D000000j2muN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,001D000000j2muP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,001D000000j2muQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,001D000000j2muR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,001D000000j2muS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,001D000000j2muU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,001D000000j2muV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,001D000000j2muW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,001D000000j2muX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,001D000000j2muY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,001D000000j2muZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,001D000000j2mua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,001D000000j2muc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,001D000000j2mue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,001D000000j2mug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,001D000000j2muh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,001D000000j2mui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,001D000000j2muj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,001D000000j2muk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,001D000000j2mul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,001D000000kNi5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,001D000000j2mfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,001D000000j2n6S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,001D000000j2n6T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,001D000000j2n6U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
